"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: stroke (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:51:13 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0005","0.0040","0.0000","0.0000","0.0005","0.0042","0.0000","0.0081","34.6366","0.0000","9.3893","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0005","0.0040","0.0000","0.0000","0.0006","0.0047","0.0000","0.0079","33.9457","0.0000","8.5146","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0007","0.0072","0.0000","0.0001","0.0006","0.0053","0.0000","0.0078","33.2458","0.0000","7.7118","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0007","0.0072","0.0000","0.0001","0.0007","0.0059","0.0000","0.0076","32.5375","0.0000","6.9906","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0007","0.0072","0.0000","0.0001","0.0008","0.0066","0.0000","0.0075","31.8212","0.0000","6.3548","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0007","0.0072","0.0000","0.0001","0.0008","0.0073","0.0000","0.0073","31.0973","0.0001","5.8018","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.0007","0.0072","0.0000","0.0001","0.0009","0.0081","0.0000","0.0071","30.3662","0.0001","5.3204","49.5000","","","","","","","","","","","","","","","","","","","","","","",""
"50","0.0010","0.0120","0.0000","0.0001","0.0009","0.0089","0.0000","0.0070","29.6281","0.0001","4.8956","50.5000","","","","","","","","","","","","","","","","","","","","","","",""
"51","0.0010","0.0120","0.0000","0.0001","0.0010","0.0098","0.0000","0.0068","28.8834","0.0001","4.5182","51.5000","","","","","","","","","","","","","","","","","","","","","","",""
"52","0.0010","0.0120","0.0000","0.0001","0.0011","0.0108","0.0000","0.0067","28.1322","0.0001","4.1806","52.5000","","","","","","","","","","","","","","","","","","","","","","",""
"53","0.0010","0.0120","0.0000","0.0001","0.0011","0.0118","0.0000","0.0066","27.3749","0.0001","3.8768","53.5000","","","","","","","","","","","","","","","","","","","","","","",""
"54","0.0010","0.0120","0.0000","0.0001","0.0012","0.0128","0.0000","0.0064","26.6118","0.0001","3.6022","54.5000","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.0013","0.0191","0.0000","0.0001","0.0013","0.0140","0.0000","0.0063","25.8437","0.0001","3.3667","55.5000","","","","","","","","","","","","","","","","","","","","","","",""
"56","0.0013","0.0191","0.0000","0.0001","0.0014","0.0152","0.0000","0.0062","25.0717","0.0001","3.1634","56.5000","","","","","","","","","","","","","","","","","","","","","","",""
"57","0.0013","0.0191","0.0000","0.0001","0.0015","0.0165","0.0000","0.0062","24.2969","0.0001","2.9874","57.5000","","","","","","","","","","","","","","","","","","","","","","",""
"58","0.0013","0.0191","0.0000","0.0001","0.0016","0.0180","0.0000","0.0062","23.5206","0.0001","2.8344","58.5000","","","","","","","","","","","","","","","","","","","","","","",""
"59","0.0013","0.0191","0.0000","0.0001","0.0018","0.0195","0.0000","0.0062","22.7435","0.0001","2.7012","59.5000","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0019","0.0289","0.0000","0.0002","0.0019","0.0212","0.0000","0.0063","21.9667","0.0001","2.5852","60.5000","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0019","0.0289","0.0000","0.0002","0.0021","0.0231","0.0000","0.0064","21.1911","0.0001","2.4853","61.5000","","","","","","","","","","","","","","","","","","","","","","",""
"62","0.0019","0.0289","0.0000","0.0002","0.0023","0.0251","0.0000","0.0066","20.4172","0.0002","2.3915","62.5000","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.0019","0.0289","0.0000","0.0002","0.0025","0.0273","0.0000","0.0067","19.6452","0.0002","2.3034","63.5000","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.0019","0.0289","0.0000","0.0002","0.0028","0.0297","0.0000","0.0068","18.8750","0.0002","2.2197","64.5000","","","","","","","","","","","","","","","","","","","","","","",""
"65","0.0029","0.0457","0.0000","0.0003","0.0030","0.0323","0.0000","0.0070","18.1070","0.0002","2.1394","65.5000","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0029","0.0457","0.0000","0.0003","0.0033","0.0351","0.0000","0.0071","17.3415","0.0003","2.0617","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0029","0.0457","0.0000","0.0003","0.0035","0.0381","0.0000","0.0074","16.5792","0.0003","1.9958","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0029","0.0457","0.0000","0.0003","0.0038","0.0413","0.0000","0.0077","15.8218","0.0003","1.9379","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0029","0.0457","0.0000","0.0003","0.0040","0.0447","0.0000","0.0080","15.0707","0.0004","1.8865","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0039","0.0647","0.0000","0.0006","0.0043","0.0483","0.0000","0.0085","14.3269","0.0004","1.8407","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0039","0.0647","0.0000","0.0006","0.0045","0.0521","0.0000","0.0090","13.5914","0.0005","1.7996","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0039","0.0647","0.0000","0.0006","0.0048","0.0560","0.0000","0.0096","12.8650","0.0005","1.7625","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0039","0.0647","0.0000","0.0006","0.0050","0.0601","0.0000","0.0104","12.1494","0.0006","1.7426","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0039","0.0647","0.0000","0.0006","0.0053","0.0643","0.0000","0.0115","11.4465","0.0007","1.7297","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0051","0.0857","0.0000","0.0016","0.0056","0.0686","0.0000","0.0128","10.7578","0.0009","1.7203","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0051","0.0857","0.0000","0.0016","0.0059","0.0731","0.0000","0.0142","10.0844","0.0010","1.7116","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0051","0.0857","0.0000","0.0016","0.0062","0.0776","0.0000","0.0159","9.4275","0.0012","1.7014","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0051","0.0857","0.0000","0.0016","0.0065","0.0822","0.0000","0.0177","8.7879","0.0015","1.6884","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0051","0.0857","0.0000","0.0016","0.0069","0.0868","0.0000","0.0204","8.1688","0.0018","1.6933","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0084","0.1032","0.0000","0.0038","0.0073","0.0915","0.0000","0.0236","7.5737","0.0022","1.7031","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0084","0.1032","0.0000","0.0038","0.0077","0.0961","0.0000","0.0275","7.0045","0.0026","1.7150","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0084","0.1032","0.0000","0.0038","0.0081","0.1005","0.0000","0.0320","6.4618","0.0032","1.7273","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0084","0.1032","0.0000","0.0038","0.0086","0.1049","0.0000","0.0371","5.9450","0.0039","1.7388","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0084","0.1032","0.0000","0.0038","0.0092","0.1090","0.0000","0.0428","5.4533","0.0047","1.7467","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0137","0.1149","0.0000","0.0095","0.0099","0.1129","0.0000","0.0508","4.9898","0.0057","1.7741","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0137","0.1149","0.0000","0.0095","0.0107","0.1163","0.0000","0.0605","4.5604","0.0070","1.8001","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0137","0.1149","0.0000","0.0095","0.0117","0.1193","0.0000","0.0719","4.1702","0.0086","1.8176","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0137","0.1149","0.0000","0.0095","0.0128","0.1218","0.0000","0.0850","3.8258","0.0103","1.8235","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0137","0.1149","0.0000","0.0095","0.0141","0.1236","0.0000","0.0998","3.5336","0.0123","1.8267","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0190","0.1209","0.0000","0.0186","0.0154","0.1247","0.0000","0.1163","3.2969","0.0145","1.8397","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0190","0.1209","0.0000","0.0186","0.0170","0.1252","0.0000","0.1341","3.1138","0.0168","1.8746","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0190","0.1209","0.0000","0.0186","0.0186","0.1252","0.0000","0.1516","2.9716","0.0190","1.9394","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0190","0.1209","0.0000","0.0186","0.0203","0.1247","0.0000","0.1688","2.8450","0.0210","2.0621","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0190","0.1209","0.0000","0.0186","0.0220","0.1239","0.0000","0.1856","2.6958","0.0230","2.2883","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0243","0.1210","0.0000","0.0381","0.0237","0.1229","0.0000","0.2021","2.5560","0.0248","2.1636","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0243","0.1210","0.0000","0.0381","0.0255","0.1219","0.0000","0.2182","2.4627","0.0266","2.2056","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0243","0.1210","0.0000","0.0381","0.0270","0.1210","0.0000","0.2317","2.3880","0.0280","2.2361","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0243","0.1210","0.0000","0.0381","0.0287","0.1202","0.0000","0.2466","2.3325","0.0296","2.2767","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0243","0.1210","0.0000","0.0381","0.0303","0.1194","0.0000","0.2602","2.3013","0.0311","2.3140","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0243","0.1210","0.0000","0.0381","0.0309","0.1188","0.0000","0.2655","2.2923","0.0315","2.3125","104.4153","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0210","NA","0.0007","0.0019","0.0193","0.0000","0.0332","13.9311","0.0006","2.1318","72.8723","","","","","","","","","","","","","","","","","","","","","","",""
