"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Breast cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:54:06 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"53","0.0027","0.0000","0.0003","0.0026","0.0253","0.0000","0.0105","28.3922","0.0003","5.8554","53.5000","","","","","","","","","","","","","","","","","",""
"54","0.0027","0.0000","0.0003","0.0027","0.0276","0.0000","0.0102","27.7366","0.0003","5.5827","54.5000","","","","","","","","","","","","","","","","","",""
"55","0.0027","0.0000","0.0003","0.0027","0.0299","0.0000","0.0100","27.0714","0.0003","4.8280","55.5000","","","","","","","","","","","","","","","","","",""
"56","0.0027","0.0000","0.0003","0.0028","0.0323","0.0000","0.0097","26.3966","0.0003","4.7186","56.5000","","","","","","","","","","","","","","","","","",""
"57","0.0027","0.0000","0.0003","0.0029","0.0347","0.0000","0.0095","25.7096","0.0003","4.4179","57.5000","","","","","","","","","","","","","","","","","",""
"58","0.0027","0.0000","0.0003","0.0030","0.0372","0.0000","0.0093","25.0182","0.0003","3.7556","58.5000","","","","","","","","","","","","","","","","","",""
"59","0.0027","0.0000","0.0003","0.0031","0.0398","0.0000","0.0091","24.3205","0.0004","3.6890","59.5000","","","","","","","","","","","","","","","","","",""
"60","0.0035","0.0000","0.0004","0.0033","0.0425","0.0000","0.0089","23.6154","0.0004","3.2968","60.5000","","","","","","","","","","","","","","","","","",""
"61","0.0035","0.0000","0.0004","0.0034","0.0454","0.0000","0.0088","22.9012","0.0004","3.3555","61.5000","","","","","","","","","","","","","","","","","",""
"62","0.0035","0.0000","0.0004","0.0036","0.0483","0.0000","0.0087","22.1830","0.0004","2.8697","62.5000","","","","","","","","","","","","","","","","","",""
"63","0.0035","0.0000","0.0004","0.0037","0.0514","0.0000","0.0086","21.4607","0.0004","2.9356","63.5000","","","","","","","","","","","","","","","","","",""
"64","0.0035","0.0000","0.0004","0.0039","0.0545","0.0000","0.0085","20.7322","0.0005","2.6483","64.5000","","","","","","","","","","","","","","","","","",""
"65","0.0041","0.0000","0.0006","0.0040","0.0578","0.0000","0.0084","20.0071","0.0005","2.4442","65.5000","","","","","","","","","","","","","","","","","",""
"66","0.0041","0.0000","0.0006","0.0041","0.0611","0.0000","0.0084","19.2793","0.0005","2.4062","66.5000","","","","","","","","","","","","","","","","","",""
"67","0.0041","0.0000","0.0006","0.0042","0.0646","0.0000","0.0084","18.5514","0.0005","2.2019","67.5000","","","","","","","","","","","","","","","","","",""
"68","0.0041","0.0000","0.0006","0.0043","0.0680","0.0000","0.0084","17.8300","0.0006","2.0606","68.5000","","","","","","","","","","","","","","","","","",""
"69","0.0041","0.0000","0.0006","0.0044","0.0716","0.0000","0.0084","17.1083","0.0006","2.0087","69.5000","","","","","","","","","","","","","","","","","",""
"70","0.0044","0.0000","0.0007","0.0045","0.0751","0.0000","0.0084","16.3877","0.0006","1.8758","70.5000","","","","","","","","","","","","","","","","","",""
"71","0.0044","0.0000","0.0007","0.0045","0.0787","0.0000","0.0083","15.6702","0.0007","1.8080","71.5000","","","","","","","","","","","","","","","","","",""
"72","0.0044","0.0000","0.0007","0.0045","0.0822","0.0000","0.0083","14.9557","0.0007","1.7070","72.5000","","","","","","","","","","","","","","","","","",""
"73","0.0044","0.0000","0.0007","0.0045","0.0857","0.0000","0.0083","14.2492","0.0007","1.6225","73.5000","","","","","","","","","","","","","","","","","",""
"74","0.0044","0.0000","0.0007","0.0045","0.0892","0.0000","0.0083","13.5523","0.0007","1.5501","74.5000","","","","","","","","","","","","","","","","","",""
"75","0.0038","0.0000","0.0009","0.0045","0.0925","0.0000","0.0084","12.8611","0.0008","1.5146","75.5000","","","","","","","","","","","","","","","","","",""
"76","0.0038","0.0000","0.0009","0.0044","0.0958","0.0000","0.0086","12.1746","0.0008","1.4673","76.5000","","","","","","","","","","","","","","","","","",""
"77","0.0038","0.0000","0.0009","0.0044","0.0990","0.0000","0.0088","11.5012","0.0009","1.4128","77.5000","","","","","","","","","","","","","","","","","",""
"78","0.0038","0.0000","0.0009","0.0043","0.1021","0.0000","0.0090","10.8461","0.0009","1.3657","78.5000","","","","","","","","","","","","","","","","","",""
"79","0.0038","0.0000","0.0009","0.0042","0.1051","0.0000","0.0093","10.2069","0.0010","1.3366","79.5000","","","","","","","","","","","","","","","","","",""
"80","0.0035","0.0000","0.0013","0.0042","0.1079","0.0000","0.0096","9.5821","0.0010","1.3053","80.5000","","","","","","","","","","","","","","","","","",""
"81","0.0035","0.0000","0.0013","0.0041","0.1107","0.0000","0.0099","8.9710","0.0011","1.2823","81.5000","","","","","","","","","","","","","","","","","",""
"82","0.0035","0.0000","0.0013","0.0041","0.1133","0.0000","0.0102","8.3823","0.0012","1.2436","82.5000","","","","","","","","","","","","","","","","","",""
"83","0.0035","0.0000","0.0013","0.0040","0.1158","0.0000","0.0106","7.8206","0.0012","1.2204","83.5000","","","","","","","","","","","","","","","","","",""
"84","0.0035","0.0000","0.0013","0.0040","0.1182","0.0000","0.0109","7.2764","0.0013","1.2018","84.5000","","","","","","","","","","","","","","","","","",""
"85","0.0034","0.0000","0.0015","0.0039","0.1205","0.0000","0.0113","6.7570","0.0014","1.1783","85.5000","","","","","","","","","","","","","","","","","",""
"86","0.0034","0.0000","0.0015","0.0039","0.1227","0.0000","0.0119","6.2672","0.0015","1.1627","86.5000","","","","","","","","","","","","","","","","","",""
"87","0.0034","0.0000","0.0015","0.0038","0.1248","0.0000","0.0125","5.8044","0.0016","1.1487","87.5000","","","","","","","","","","","","","","","","","",""
"88","0.0034","0.0000","0.0015","0.0037","0.1267","0.0000","0.0132","5.3784","0.0017","1.1328","88.5000","","","","","","","","","","","","","","","","","",""
"89","0.0034","0.0000","0.0015","0.0037","0.1284","0.0000","0.0140","4.9818","0.0018","1.1270","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0028","0.0000","0.0024","0.0036","0.1299","0.0000","0.0149","4.6158","0.0019","1.1148","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0028","0.0000","0.0024","0.0035","0.1313","0.0000","0.0157","4.2856","0.0021","1.1080","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0028","0.0000","0.0024","0.0034","0.1324","0.0000","0.0164","3.9870","0.0022","1.0981","92.5000","","","","","","","","","","","","","","","","","",""
