"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: chronic obstructive pulmonary disease (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:01:23 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"63","0.0078","0.0927","0.0000","0.0003","0.0087","0.0971","0.0000","0.0036","19.1638","0.0003","1.3992","63.5000"
"64","0.0078","0.0927","0.0000","0.0003","0.0093","0.1049","0.0000","0.0039","18.4025","0.0004","1.3978","64.5000"
"65","0.0100","0.1357","0.0000","0.0007","0.0099","0.1130","0.0000","0.0042","17.6519","0.0005","1.3942","65.5000"
"66","0.0100","0.1357","0.0000","0.0007","0.0104","0.1215","0.0000","0.0045","16.9123","0.0006","1.3884","66.5000"
"67","0.0100","0.1357","0.0000","0.0007","0.0109","0.1303","0.0000","0.0049","16.1839","0.0006","1.3819","67.5000"
"68","0.0100","0.1357","0.0000","0.0007","0.0114","0.1394","0.0000","0.0053","15.4673","0.0007","1.3739","68.5000"
"69","0.0100","0.1357","0.0000","0.0007","0.0117","0.1486","0.0000","0.0057","14.7631","0.0008","1.3645","69.5000"
"70","0.0107","0.1841","0.0000","0.0014","0.0121","0.1579","0.0000","0.0061","14.0715","0.0010","1.3541","70.5000"
"71","0.0107","0.1841","0.0000","0.0014","0.0123","0.1673","0.0000","0.0065","13.3931","0.0011","1.3428","71.5000"
"72","0.0107","0.1841","0.0000","0.0014","0.0126","0.1766","0.0000","0.0070","12.7282","0.0012","1.3308","72.5000"
"73","0.0107","0.1841","0.0000","0.0014","0.0127","0.1859","0.0000","0.0075","12.0774","0.0014","1.3208","73.5000"
"74","0.0107","0.1841","0.0000","0.0014","0.0128","0.1950","0.0000","0.0081","11.4416","0.0016","1.3113","74.5000"
"75","0.0098","0.2288","0.0000","0.0025","0.0128","0.2039","0.0000","0.0087","10.8217","0.0018","1.3020","75.5000"
"76","0.0098","0.2288","0.0000","0.0025","0.0129","0.2126","0.0000","0.0094","10.2185","0.0020","1.2925","76.5000"
"77","0.0098","0.2288","0.0000","0.0025","0.0128","0.2210","0.0000","0.0102","9.6333","0.0023","1.2824","77.5000"
"78","0.0098","0.2288","0.0000","0.0025","0.0128","0.2290","0.0000","0.0110","9.0674","0.0025","1.2718","78.5000"
"79","0.0098","0.2288","0.0000","0.0025","0.0127","0.2368","0.0000","0.0120","8.5228","0.0028","1.2634","79.5000"
"80","0.0090","0.2625","0.0000","0.0046","0.0127","0.2441","0.0000","0.0131","8.0010","0.0032","1.2556","80.5000"
"81","0.0090","0.2625","0.0000","0.0046","0.0127","0.2511","0.0000","0.0143","7.5032","0.0036","1.2483","81.5000"
"82","0.0090","0.2625","0.0000","0.0046","0.0128","0.2578","0.0000","0.0157","7.0300","0.0040","1.2415","82.5000"
"83","0.0090","0.2625","0.0000","0.0046","0.0129","0.2641","0.0000","0.0172","6.5813","0.0045","1.2354","83.5000"
"84","0.0090","0.2625","0.0000","0.0046","0.0130","0.2701","0.0000","0.0188","6.1573","0.0051","1.2293","84.5000"
"85","0.0097","0.2869","0.0000","0.0081","0.0133","0.2757","0.0000","0.0206","5.7592","0.0057","1.2242","85.5000"
"86","0.0097","0.2869","0.0000","0.0081","0.0138","0.2812","0.0000","0.0226","5.3894","0.0063","1.2181","86.5000"
"87","0.0097","0.2869","0.0000","0.0081","0.0145","0.2865","0.0000","0.0247","5.0519","0.0071","1.2107","87.5000"
"88","0.0097","0.2869","0.0000","0.0081","0.0152","0.2918","0.0000","0.0269","4.7527","0.0078","1.2022","88.5000"
"89","0.0097","0.2869","0.0000","0.0081","0.0162","0.2970","0.0000","0.0292","4.4968","0.0087","1.1947","89.5000"
"90","0.0139","0.3100","0.0000","0.0119","0.0173","0.3023","0.0000","0.0317","4.2839","0.0096","1.1902","90.5000"
"91","0.0139","0.3100","0.0000","0.0119","0.0186","0.3078","0.0000","0.0342","4.1046","0.0105","1.1906","91.5000"
"92","0.0139","0.3100","0.0000","0.0119","0.0199","0.3134","0.0000","0.0367","3.9372","0.0115","1.1975","92.5000"
"93","0.0139","0.3100","0.0000","0.0119","0.0213","0.3193","0.0000","0.0391","3.7453","0.0125","1.2144","93.5000"
"94","0.0139","0.3100","0.0000","0.0119","0.0227","0.3254","0.0000","0.0415","3.4801","0.0135","1.2470","94.5000"
"95","0.0198","0.3437","0.0000","0.0186","0.0242","0.3317","0.0000","0.0439","3.2327","0.0146","1.1941","95.5000"
"96","0.0198","0.3437","0.0000","0.0186","0.0257","0.3382","0.0000","0.0462","3.0692","0.0156","1.1880","96.5000"
"97","0.0198","0.3437","0.0000","0.0186","0.0270","0.3449","0.0000","0.0481","2.9289","0.0166","1.1807","97.5000"
"98","0.0198","0.3437","0.0000","0.0186","0.0284","0.3518","0.0000","0.0502","2.8161","0.0177","1.1743","98.5000"
"99","0.0198","0.3437","0.0000","0.0186","0.0298","0.3588","0.0000","0.0522","2.7388","0.0187","1.1676","99.5000"
"100+","0.0198","0.3437","0.0000","0.0186","0.0303","0.3658","0.0000","0.0529","2.7092","0.0194","1.1578","102.4802"
"","","","","","","","","","","","",""
"All ages","NA","0.0571","NA","0.0005","0.0040","0.0570","0.0000","0.0084","19.2545","0.0005","1.2664","63.5962"
