"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: colon and rectum cancer (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:03:50 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"70","0.0035","0.0219","0.0000","0.0014","0.0027","0.0253","0.0000","0.0398","8.8137","0.0010","3.3120","70.5000"
"71","0.0035","0.0219","0.0000","0.0014","0.0029","0.0270","0.0000","0.0426","8.3122","0.0011","3.2342","71.5000"
"72","0.0035","0.0219","0.0000","0.0014","0.0030","0.0286","0.0000","0.0454","7.8188","0.0013","3.1533","72.5000"
"73","0.0035","0.0219","0.0000","0.0014","0.0032","0.0303","0.0000","0.0492","7.3347","0.0015","3.1016","73.5000"
"74","0.0035","0.0219","0.0000","0.0014","0.0033","0.0319","0.0000","0.0536","6.8629","0.0017","3.0648","74.5000"
"75","0.0048","0.0277","0.0000","0.0025","0.0034","0.0333","0.0000","0.0588","6.4052","0.0020","3.0360","75.5000"
"76","0.0048","0.0277","0.0000","0.0025","0.0035","0.0347","0.0000","0.0648","5.9628","0.0022","3.0098","76.5000"
"77","0.0048","0.0277","0.0000","0.0025","0.0036","0.0358","0.0000","0.0715","5.5363","0.0026","2.9817","77.5000"
"78","0.0048","0.0277","0.0000","0.0025","0.0037","0.0367","0.0000","0.0789","5.1257","0.0029","2.9488","78.5000"
"79","0.0048","0.0277","0.0000","0.0025","0.0038","0.0373","0.0000","0.0883","4.7334","0.0033","2.9376","79.5000"
"80","0.0051","0.0246","0.0000","0.0046","0.0039","0.0376","0.0000","0.0988","4.3619","0.0037","2.9259","80.5000"
"81","0.0051","0.0246","0.0000","0.0046","0.0041","0.0377","0.0000","0.1106","4.0107","0.0042","2.9133","81.5000"
"82","0.0051","0.0246","0.0000","0.0046","0.0044","0.0375","0.0000","0.1235","3.6785","0.0046","2.9002","82.5000"
