"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Lung cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:01:14 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"56","0.0007","0.0000","0.0004","0.0005","0.0013","0.0000","0.2449","3.6885","0.0003","53.5141","56.5000","","","","","","","","","","","","","","","","","",""
"57","0.0007","0.0000","0.0004","0.0006","0.0015","0.0000","0.2528","3.6123","0.0004","54.2001","57.5000","","","","","","","","","","","","","","","","","",""
"58","0.0007","0.0000","0.0004","0.0007","0.0017","0.0000","0.2608","3.5478","0.0004","49.9687","58.5000","","","","","","","","","","","","","","","","","",""
"59","0.0007","0.0000","0.0004","0.0007","0.0019","0.0000","0.2690","3.4983","0.0005","48.1850","59.5000","","","","","","","","","","","","","","","","","",""
"60","0.0012","0.0000","0.0008","0.0008","0.0021","0.0000","0.2773","3.4682","0.0006","44.4029","60.5000","","","","","","","","","","","","","","","","","",""
"61","0.0012","0.0000","0.0008","0.0010","0.0024","0.0000","0.2835","3.4596","0.0007","42.5624","61.5000","","","","","","","","","","","","","","","","","",""
"62","0.0012","0.0000","0.0008","0.0011","0.0027","0.0000","0.2875","3.4714","0.0008","37.9270","62.5000","","","","","","","","","","","","","","","","","",""
"63","0.0012","0.0000","0.0008","0.0012","0.0030","0.0000","0.2893","3.5009","0.0009","38.1984","63.5000","","","","","","","","","","","","","","","","","",""
"64","0.0012","0.0000","0.0008","0.0013","0.0033","0.0000","0.2889","3.5446","0.0010","34.5832","64.5000","","","","","","","","","","","","","","","","","",""
"65","0.0018","0.0000","0.0013","0.0014","0.0037","0.0000","0.2862","3.6004","0.0011","31.2388","65.5000","","","","","","","","","","","","","","","","","",""
"66","0.0018","0.0000","0.0013","0.0016","0.0041","0.0000","0.2814","3.6628","0.0011","28.2092","66.5000","","","","","","","","","","","","","","","","","",""
"67","0.0018","0.0000","0.0013","0.0017","0.0045","0.0000","0.2744","3.7261","0.0012","24.1440","67.5000","","","","","","","","","","","","","","","","","",""
"68","0.0018","0.0000","0.0013","0.0018","0.0050","0.0000","0.2676","3.7849","0.0013","22.4026","68.5000","","","","","","","","","","","","","","","","","",""
"69","0.0018","0.0000","0.0013","0.0020","0.0055","0.0000","0.2610","3.8371","0.0014","20.0103","69.5000","","","","","","","","","","","","","","","","","",""
"70","0.0028","0.0000","0.0019","0.0022","0.0061","0.0000","0.2546","3.8817","0.0016","18.1179","70.5000","","","","","","","","","","","","","","","","","",""
"71","0.0028","0.0000","0.0019","0.0023","0.0067","0.0000","0.2483","3.9185","0.0017","15.5844","71.5000","","","","","","","","","","","","","","","","","",""
