"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Colon cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:00:35 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"89","0.0035","0.0000","0.0010","0.0035","0.0567","0.0000","0.0204","4.3236","0.0012","1.1384","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0030","0.0000","0.0017","0.0034","0.0588","0.0000","0.0217","4.0534","0.0013","1.1338","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0030","0.0000","0.0017","0.0034","0.0607","0.0000","0.0229","3.8085","0.0014","1.1267","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0030","0.0000","0.0017","0.0033","0.0625","0.0000","0.0238","3.5963","0.0015","1.1181","92.5000","","","","","","","","","","","","","","","","","",""
"93","0.0030","0.0000","0.0017","0.0032","0.0641","0.0000","0.0245","3.4058","0.0016","1.1133","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0030","0.0000","0.0017","0.0032","0.0656","0.0000","0.0248","3.2522","0.0016","1.1001","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0030","0.0000","0.0017","0.0032","0.0671","0.0000","0.0249","3.1273","0.0017","1.0980","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0030","0.0000","0.0017","0.0032","0.0685","0.0000","0.0247","3.0229","0.0017","1.0873","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0030","0.0000","0.0017","0.0032","0.0699","0.0000","0.0243","2.8939","0.0017","1.0945","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0030","0.0000","0.0017","0.0032","0.0713","0.0000","0.0239","2.7881","0.0017","1.0721","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0030","0.0000","0.0017","0.0032","0.0726","0.0000","0.0235","2.7572","0.0017","1.0727","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0030","0.0000","0.0017","0.0032","0.0740","0.0000","0.0233","2.7313","0.0017","1.0677","102.4025","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0001","0.0004","0.0050","0.0000","0.0129","15.3271","0.0001","1.7334","69.1822","","","","","","","","","","","","","","","","","",""
