"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Ischemic heart disease                (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:44:31 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0273","0.2107","0.0000","0.0236","0.0197","0.2389","0.0000","0.0769","4.0201","0.0184","1.8362","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0273","0.2107","0.0000","0.0236","0.0209","0.2389","0.0000","0.0928","3.6394","0.0222","1.8966","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0273","0.2107","0.0000","0.0236","0.0224","0.2369","0.0000","0.1122","3.2896","0.0266","1.9591","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0273","0.2107","0.0000","0.0236","0.0242","0.2325","0.0000","0.1353","2.9751","0.0314","2.0180","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0273","0.2107","0.0000","0.0236","0.0263","0.2258","0.0000","0.1618","2.6985","0.0365","2.0787","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0419","0.1859","0.0000","0.0425","0.0287","0.2168","0.0000","0.1919","2.4594","0.0416","2.1529","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0419","0.1859","0.0000","0.0425","0.0319","0.2058","0.0000","0.2280","2.2554","0.0468","2.2699","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0419","0.1859","0.0000","0.0425","0.0355","0.1935","0.0000","0.2663","2.0783","0.0514","2.4332","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0419","0.1859","0.0000","0.0425","0.0397","0.1807","0.0000","0.3071","1.9099","0.0553","2.6820","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0419","0.1859","0.0000","0.0425","0.0444","0.1683","0.0000","0.3501","1.7221","0.0587","3.0816","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0640","0.1311","0.0000","0.0785","0.0495","0.1570","0.0000","0.3955","1.5491","0.0619","2.7490","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0640","0.1311","0.0000","0.0785","0.0551","0.1475","0.0000","0.4433","1.4268","0.0652","2.8045","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0640","0.1311","0.0000","0.0785","0.0603","0.1399","0.0000","0.4862","1.3245","0.0678","2.8255","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0640","0.1311","0.0000","0.0785","0.0661","0.1343","0.0000","0.5335","1.2426","0.0715","2.8507","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0640","0.1311","0.0000","0.0785","0.0714","0.1303","0.0000","0.5769","1.1902","0.0750","2.8530","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0640","0.1311","0.0000","0.0785","0.0734","0.1277","0.0000","0.5936","1.1717","0.0757","2.7691","102.4802","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0429","NA","0.0016","0.0045","0.0428","0.0000","0.0391","13.4714","0.0017","2.7366","67.1947","","","","","","","","","","","","","","","","","","","","","","",""
