"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: colon and rectum cancer (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 5:04:40 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"65","0.0016","0.0107","0.0000","0.0005","0.0014","0.0141","0.0000","0.0242","14.0408","0.0003","4.9507","65.5000"
"66","0.0016","0.0107","0.0000","0.0005","0.0015","0.0152","0.0000","0.0259","13.4683","0.0004","4.8616","66.5000"
"67","0.0016","0.0107","0.0000","0.0005","0.0016","0.0162","0.0000","0.0278","12.9095","0.0005","4.7588","67.5000"
"68","0.0016","0.0107","0.0000","0.0005","0.0017","0.0174","0.0000","0.0297","12.3642","0.0005","4.6338","68.5000"
"69","0.0016","0.0107","0.0000","0.0005","0.0018","0.0186","0.0000","0.0316","11.8323","0.0006","4.4914","69.5000"
"70","0.0023","0.0148","0.0000","0.0010","0.0020","0.0198","0.0000","0.0336","11.3133","0.0007","4.3368","70.5000"
"71","0.0023","0.0148","0.0000","0.0010","0.0021","0.0211","0.0000","0.0357","10.8067","0.0008","4.1752","71.5000"
"72","0.0023","0.0148","0.0000","0.0010","0.0022","0.0224","0.0000","0.0379","10.3122","0.0008","4.0108","72.5000"
"73","0.0023","0.0148","0.0000","0.0010","0.0024","0.0238","0.0000","0.0401","9.8293","0.0010","3.8466","73.5000"
"74","0.0023","0.0148","0.0000","0.0010","0.0026","0.0252","0.0000","0.0422","9.3571","0.0011","3.6789","74.5000"
"75","0.0033","0.0200","0.0000","0.0016","0.0027","0.0267","0.0000","0.0444","8.8949","0.0012","3.5078","75.5000"
"76","0.0033","0.0200","0.0000","0.0016","0.0029","0.0283","0.0000","0.0466","8.4418","0.0013","3.3340","76.5000"
"77","0.0033","0.0200","0.0000","0.0016","0.0031","0.0298","0.0000","0.0488","7.9975","0.0015","3.1584","77.5000"
"78","0.0033","0.0200","0.0000","0.0016","0.0033","0.0315","0.0000","0.0510","7.5618","0.0016","2.9826","78.5000"
"79","0.0033","0.0200","0.0000","0.0016","0.0035","0.0331","0.0000","0.0535","7.1356","0.0018","2.8201","79.5000"
"80","0.0039","0.0203","0.0000","0.0026","0.0037","0.0347","0.0000","0.0562","6.7204","0.0020","2.6715","80.5000"
"81","0.0039","0.0203","0.0000","0.0026","0.0039","0.0364","0.0000","0.0592","6.3175","0.0022","2.5374","81.5000"
"82","0.0039","0.0203","0.0000","0.0026","0.0041","0.0381","0.0000","0.0624","5.9274","0.0024","2.4178","82.5000"
"83","0.0039","0.0203","0.0000","0.0026","0.0043","0.0397","0.0000","0.0658","5.5506","0.0026","2.3116","83.5000"
"84","0.0039","0.0203","0.0000","0.0026","0.0045","0.0413","0.0000","0.0695","5.1870","0.0029","2.2139","84.5000"
"85","0.0052","0.0244","0.0000","0.0042","0.0047","0.0428","0.0000","0.0739","4.8385","0.0032","2.1264","85.5000"
"86","0.0052","0.0244","0.0000","0.0042","0.0049","0.0443","0.0000","0.0786","4.5083","0.0035","2.0401","86.5000"
"87","0.0052","0.0244","0.0000","0.0042","0.0051","0.0456","0.0000","0.0837","4.2008","0.0038","1.9524","87.5000"
"88","0.0052","0.0244","0.0000","0.0042","0.0053","0.0467","0.0000","0.0893","3.9226","0.0042","1.8647","88.5000"
"89","0.0052","0.0244","0.0000","0.0042","0.0055","0.0477","0.0000","0.0951","3.6805","0.0045","1.7881","89.5000"
"90","0.0057","0.0224","0.0000","0.0058","0.0056","0.0485","0.0000","0.1014","3.4775","0.0049","1.7323","90.5000"
"91","0.0057","0.0224","0.0000","0.0058","0.0058","0.0491","0.0000","0.1095","3.3121","0.0054","1.7143","91.5000"
"92","0.0057","0.0224","0.0000","0.0058","0.0059","0.0493","0.0000","0.1192","3.1744","0.0059","1.7383","92.5000"
"93","0.0057","0.0224","0.0000","0.0058","0.0061","0.0492","0.0000","0.1303","3.0408","0.0064","1.8198","93.5000"
"94","0.0057","0.0224","0.0000","0.0058","0.0062","0.0486","0.0000","0.1429","2.8745","0.0069","1.9919","94.5000"
"95","0.0062","0.0088","0.0000","0.0098","0.0063","0.0477","0.0000","0.1570","2.7143","0.0075","1.9040","95.5000"
"96","0.0062","0.0088","0.0000","0.0098","0.0064","0.0463","0.0000","0.1726","2.6019","0.0080","1.9535","96.5000"
"97","0.0062","0.0088","0.0000","0.0098","0.0064","0.0447","0.0000","0.1872","2.5108","0.0084","1.9986","97.5000"
"98","0.0062","0.0088","0.0000","0.0098","0.0065","0.0427","0.0000","0.2033","2.4436","0.0087","2.0525","98.5000"
"99","0.0062","0.0088","0.0000","0.0098","0.0066","0.0406","0.0000","0.2181","2.4063","0.0088","2.1010","99.5000"
"100+","0.0062","0.0088","0.0000","0.0098","0.0066","0.0386","0.0000","0.2238","2.3957","0.0086","2.1061","104.4153"
"","","","","","","","","","","","",""
"All ages","NA","0.0050","NA","0.0004","0.0008","0.0078","0.0000","0.0468","11.7040","0.0004","2.8759","72.4568"
