"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Ischemic heart disease                (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:45:24 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"58","0.0013","0.0191","0.0000","0.0002","0.0018","0.0152","0.0000","0.0123","20.9474","0.0002","4.6307","58.5000","","","","","","","","","","","","","","","","","","","","","","",""
"59","0.0013","0.0191","0.0000","0.0002","0.0020","0.0169","0.0000","0.0124","20.2701","0.0002","4.3703","59.5000","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0021","0.0289","0.0000","0.0003","0.0022","0.0188","0.0000","0.0125","19.5902","0.0002","4.1429","60.5000","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0021","0.0289","0.0000","0.0003","0.0024","0.0208","0.0000","0.0128","18.9091","0.0003","3.9467","61.5000","","","","","","","","","","","","","","","","","","","","","","",""
"62","0.0021","0.0289","0.0000","0.0003","0.0026","0.0230","0.0000","0.0130","18.2274","0.0003","3.7623","62.5000","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.0021","0.0289","0.0000","0.0003","0.0029","0.0253","0.0000","0.0133","17.5452","0.0003","3.5885","63.5000","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.0021","0.0289","0.0000","0.0003","0.0031","0.0279","0.0000","0.0136","16.8624","0.0004","3.4233","64.5000","","","","","","","","","","","","","","","","","","","","","","",""
"65","0.0032","0.0457","0.0000","0.0006","0.0034","0.0307","0.0000","0.0139","16.1792","0.0004","3.2645","65.5000","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0032","0.0457","0.0000","0.0006","0.0036","0.0336","0.0000","0.0142","15.4955","0.0005","3.1106","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0032","0.0457","0.0000","0.0006","0.0039","0.0368","0.0000","0.0146","14.8124","0.0005","2.9750","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0032","0.0457","0.0000","0.0006","0.0042","0.0401","0.0000","0.0151","14.1315","0.0006","2.8518","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0032","0.0457","0.0000","0.0006","0.0045","0.0437","0.0000","0.0158","13.4542","0.0007","2.7394","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0046","0.0647","0.0000","0.0012","0.0048","0.0474","0.0000","0.0165","12.7815","0.0008","2.6367","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0046","0.0647","0.0000","0.0012","0.0051","0.0513","0.0000","0.0174","12.1144","0.0009","2.5428","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0046","0.0647","0.0000","0.0012","0.0054","0.0554","0.0000","0.0183","11.4536","0.0010","2.4570","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0046","0.0647","0.0000","0.0012","0.0058","0.0597","0.0000","0.0197","10.8007","0.0012","2.3982","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0046","0.0647","0.0000","0.0012","0.0061","0.0641","0.0000","0.0213","10.1580","0.0014","2.3509","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0063","0.0857","0.0000","0.0026","0.0065","0.0686","0.0000","0.0232","9.5270","0.0016","2.3101","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0063","0.0857","0.0000","0.0026","0.0069","0.0732","0.0000","0.0254","8.9085","0.0019","2.2717","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0063","0.0857","0.0000","0.0026","0.0073","0.0779","0.0000","0.0279","8.3033","0.0022","2.2324","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0063","0.0857","0.0000","0.0026","0.0077","0.0826","0.0000","0.0306","7.7118","0.0025","2.1904","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0063","0.0857","0.0000","0.0026","0.0082","0.0874","0.0000","0.0346","7.1374","0.0030","2.1787","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0096","0.1032","0.0000","0.0064","0.0087","0.0920","0.0000","0.0396","6.5845","0.0036","2.1780","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0096","0.1032","0.0000","0.0064","0.0093","0.0965","0.0000","0.0455","6.0549","0.0044","2.1832","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0096","0.1032","0.0000","0.0064","0.0100","0.1009","0.0000","0.0524","5.5491","0.0053","2.1916","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0096","0.1032","0.0000","0.0064","0.0107","0.1049","0.0000","0.0603","5.0660","0.0063","2.2007","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0096","0.1032","0.0000","0.0064","0.0114","0.1086","0.0000","0.0691","4.6038","0.0075","2.2059","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0145","0.1149","0.0000","0.0159","0.0127","0.1119","0.0000","0.0820","4.1662","0.0092","2.2501","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0145","0.1149","0.0000","0.0159","0.0142","0.1148","0.0000","0.0981","3.7603","0.0113","2.2976","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0145","0.1149","0.0000","0.0159","0.0162","0.1172","0.0000","0.1173","3.3907","0.0138","2.3344","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0145","0.1149","0.0000","0.0159","0.0185","0.1191","0.0000","0.1397","3.0619","0.0166","2.3538","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
