"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: tracheal, bronchus, and lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:52:12 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0009","0.0024","0.0000","0.0006","0.0007","0.0023","0.0000","0.1983","4.9515","0.0004","50.7218","60.5000","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0009","0.0024","0.0000","0.0006","0.0007","0.0025","0.0000","0.2005","4.9573","0.0005","47.2360","61.5000","","","","","","","","","","","","","","","","","","","","","","",""
"62","0.0009","0.0024","0.0000","0.0006","0.0008","0.0027","0.0000","0.2017","4.9756","0.0006","43.7581","62.5000","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.0009","0.0024","0.0000","0.0006","0.0009","0.0030","0.0000","0.2020","5.0042","0.0006","40.3250","63.5000","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.0009","0.0024","0.0000","0.0006","0.0010","0.0033","0.0000","0.2013","5.0406","0.0007","36.9473","64.5000","","","","","","","","","","","","","","","","","","","","","","",""
"65","0.0013","0.0035","0.0000","0.0009","0.0011","0.0037","0.0000","0.1998","5.0817","0.0007","33.6329","65.5000","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0013","0.0035","0.0000","0.0009","0.0012","0.0040","0.0000","0.1973","5.1236","0.0008","30.3939","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0013","0.0035","0.0000","0.0009","0.0013","0.0044","0.0000","0.1939","5.1617","0.0009","27.2563","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0013","0.0035","0.0000","0.0009","0.0013","0.0048","0.0000","0.1907","5.1932","0.0009","24.3547","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0013","0.0035","0.0000","0.0009","0.0014","0.0052","0.0000","0.1875","5.2175","0.0010","21.6964","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0018","0.0042","0.0000","0.0012","0.0015","0.0057","0.0000","0.1844","5.2341","0.0011","19.2861","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0018","0.0042","0.0000","0.0012","0.0016","0.0062","0.0000","0.1814","5.2424","0.0011","17.1205","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0018","0.0042","0.0000","0.0012","0.0017","0.0067","0.0000","0.1784","5.2421","0.0012","15.1902","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0018","0.0042","0.0000","0.0012","0.0018","0.0072","0.0000","0.1756","5.2326","0.0013","13.4790","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0018","0.0042","0.0000","0.0012","0.0019","0.0077","0.0000","0.1727","5.2134","0.0013","11.9525","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0021","0.0044","0.0000","0.0016","0.0019","0.0082","0.0000","0.1699","5.1841","0.0014","10.5856","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0021","0.0044","0.0000","0.0016","0.0020","0.0087","0.0000","0.1670","5.1441","0.0015","9.3587","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0021","0.0044","0.0000","0.0016","0.0020","0.0092","0.0000","0.1642","5.0934","0.0015","8.2561","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0021","0.0044","0.0000","0.0016","0.0021","0.0097","0.0000","0.1614","5.0323","0.0016","7.2679","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0021","0.0044","0.0000","0.0016","0.0021","0.0102","0.0000","0.1585","4.9613","0.0016","6.3912","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0022","0.0037","0.0000","0.0018","0.0021","0.0107","0.0000","0.1555","4.8808","0.0017","5.6241","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0022","0.0037","0.0000","0.0018","0.0022","0.0112","0.0000","0.1524","4.7917","0.0017","4.9611","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0022","0.0037","0.0000","0.0018","0.0022","0.0116","0.0000","0.1493","4.6948","0.0017","4.3939","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0022","0.0037","0.0000","0.0018","0.0022","0.0121","0.0000","0.1461","4.5911","0.0018","3.9108","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0022","0.0037","0.0000","0.0018","0.0022","0.0125","0.0000","0.1428","4.4823","0.0018","3.4931","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0022","0.0035","0.0000","0.0018","0.0022","0.0129","0.0000","0.1389","4.3698","0.0018","3.1174","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0022","0.0035","0.0000","0.0018","0.0022","0.0133","0.0000","0.1344","4.2560","0.0018","2.7782","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0022","0.0035","0.0000","0.0018","0.0022","0.0137","0.0000","0.1294","4.1459","0.0018","2.4715","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0022","0.0035","0.0000","0.0018","0.0021","0.0141","0.0000","0.1238","4.0484","0.0017","2.1993","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0022","0.0035","0.0000","0.0018","0.0021","0.0144","0.0000","0.1176","3.9741","0.0017","1.9743","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0018","0.0024","0.0000","0.0015","0.0020","0.0148","0.0000","0.1109","3.9304","0.0016","1.8006","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0018","0.0024","0.0000","0.0015","0.0019","0.0151","0.0000","0.1042","3.9181","0.0016","1.6791","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0018","0.0024","0.0000","0.0015","0.0018","0.0154","0.0000","0.0980","3.9255","0.0015","1.6072","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0018","0.0024","0.0000","0.0015","0.0018","0.0157","0.0000","0.0925","3.9227","0.0015","1.5818","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0018","0.0024","0.0000","0.0015","0.0017","0.0160","0.0000","0.0875","3.8587","0.0014","1.6073","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0015","0.0009","0.0000","0.0012","0.0017","0.0163","0.0000","0.0831","3.7846","0.0014","1.4786","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0015","0.0009","0.0000","0.0012","0.0016","0.0166","0.0000","0.0793","3.7539","0.0013","1.4382","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0015","0.0009","0.0000","0.0012","0.0016","0.0169","0.0000","0.0766","3.7297","0.0013","1.4084","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0015","0.0009","0.0000","0.0012","0.0016","0.0172","0.0000","0.0735","3.7120","0.0013","1.3807","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0015","0.0009","0.0000","0.0012","0.0015","0.0175","0.0000","0.0707","3.6994","0.0012","1.3571","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0015","0.0009","0.0000","0.0012","0.0015","0.0178","0.0000","0.0697","3.6940","0.0012","1.3443","104.4153","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0012","NA","0.0004","0.0005","0.0022","0.0000","0.1603","5.0111","0.0003","24.5197","71.4588","","","","","","","","","","","","","","","","","","","","","","",""
