"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Colon cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:59:49 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"71","0.0016","0.0000","0.0001","0.0013","0.0130","0.0000","0.0090","15.3128","0.0001","1.8767","71.5000","","","","","","","","","","","","","","","","","",""
"72","0.0016","0.0000","0.0001","0.0014","0.0142","0.0000","0.0090","14.6106","0.0001","1.7677","72.5000","","","","","","","","","","","","","","","","","",""
"73","0.0016","0.0000","0.0001","0.0016","0.0155","0.0000","0.0091","13.9160","0.0001","1.6822","73.5000","","","","","","","","","","","","","","","","","",""
"74","0.0016","0.0000","0.0001","0.0017","0.0170","0.0000","0.0092","13.2313","0.0002","1.6096","74.5000","","","","","","","","","","","","","","","","","",""
"75","0.0022","0.0000","0.0003","0.0019","0.0186","0.0000","0.0095","12.5529","0.0002","1.5775","75.5000","","","","","","","","","","","","","","","","","",""
"76","0.0022","0.0000","0.0003","0.0020","0.0203","0.0000","0.0098","11.8799","0.0002","1.5318","76.5000","","","","","","","","","","","","","","","","","",""
"77","0.0022","0.0000","0.0003","0.0022","0.0222","0.0000","0.0101","11.2205","0.0002","1.4768","77.5000","","","","","","","","","","","","","","","","","",""
"78","0.0022","0.0000","0.0003","0.0023","0.0241","0.0000","0.0106","10.5800","0.0003","1.4291","78.5000","","","","","","","","","","","","","","","","","",""
"79","0.0022","0.0000","0.0003","0.0024","0.0261","0.0000","0.0111","9.9562","0.0003","1.4021","79.5000","","","","","","","","","","","","","","","","","",""
"80","0.0029","0.0000","0.0005","0.0026","0.0282","0.0000","0.0117","9.3477","0.0003","1.3715","80.5000","","","","","","","","","","","","","","","","","",""
"81","0.0029","0.0000","0.0005","0.0027","0.0304","0.0000","0.0123","8.7537","0.0004","1.3502","81.5000","","","","","","","","","","","","","","","","","",""
"82","0.0029","0.0000","0.0005","0.0028","0.0327","0.0000","0.0129","8.1829","0.0004","1.3081","82.5000","","","","","","","","","","","","","","","","","",""
"83","0.0029","0.0000","0.0005","0.0029","0.0350","0.0000","0.0136","7.6396","0.0005","1.2844","83.5000","","","","","","","","","","","","","","","","","",""
"84","0.0029","0.0000","0.0005","0.0030","0.0374","0.0000","0.0144","7.1145","0.0005","1.2655","84.5000","","","","","","","","","","","","","","","","","",""
"85","0.0032","0.0000","0.0009","0.0031","0.0398","0.0000","0.0151","6.6145","0.0006","1.2371","85.5000","","","","","","","","","","","","","","","","","",""
"86","0.0032","0.0000","0.0009","0.0032","0.0422","0.0000","0.0158","6.1438","0.0007","1.2165","86.5000","","","","","","","","","","","","","","","","","",""
"87","0.0032","0.0000","0.0009","0.0032","0.0445","0.0000","0.0165","5.6991","0.0007","1.1963","87.5000","","","","","","","","","","","","","","","","","",""
"88","0.0032","0.0000","0.0009","0.0032","0.0468","0.0000","0.0172","5.2897","0.0008","1.1727","88.5000","","","","","","","","","","","","","","","","","",""
"89","0.0032","0.0000","0.0009","0.0031","0.0490","0.0000","0.0178","4.9080","0.0009","1.1616","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0026","0.0000","0.0011","0.0030","0.0511","0.0000","0.0184","4.5552","0.0009","1.1422","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0026","0.0000","0.0011","0.0030","0.0530","0.0000","0.0189","4.2361","0.0010","1.1300","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0026","0.0000","0.0011","0.0029","0.0548","0.0000","0.0192","3.9467","0.0011","1.1151","92.5000","","","","","","","","","","","","","","","","","",""
"93","0.0026","0.0000","0.0011","0.0028","0.0565","0.0000","0.0194","3.6855","0.0011","1.1049","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0026","0.0000","0.0011","0.0028","0.0581","0.0000","0.0194","3.4419","0.0011","1.0950","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0026","0.0000","0.0011","0.0028","0.0596","0.0000","0.0192","3.2140","0.0011","1.0858","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0026","0.0000","0.0011","0.0027","0.0611","0.0000","0.0190","3.0114","0.0012","1.0749","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0026","0.0000","0.0011","0.0028","0.0626","0.0000","0.0186","2.8406","0.0012","1.0666","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0026","0.0000","0.0011","0.0028","0.0641","0.0000","0.0182","2.7136","0.0012","1.0574","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0026","0.0000","0.0011","0.0028","0.0656","0.0000","0.0178","2.6342","0.0012","1.0526","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0026","0.0000","0.0011","0.0028","0.0670","0.0000","0.0177","2.6007","0.0012","1.0480","102.2173","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0001","0.0004","0.0045","0.0000","0.0120","15.2808","0.0001","2.0133","72.1434","","","","","","","","","","","","","","","","","",""
