"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: stroke (Rates), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:49:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0033","0.1154","0.0000","0.0005","0.0047","0.0520","0.0000","0.0075","15.8828","0.0004","1.6422","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0033","0.1154","0.0000","0.0005","0.0050","0.0562","0.0000","0.0078","15.1862","0.0004","1.6087","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0033","0.1154","0.0000","0.0005","0.0053","0.0606","0.0000","0.0082","14.4984","0.0005","1.5782","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0033","0.1154","0.0000","0.0005","0.0056","0.0652","0.0000","0.0086","13.8200","0.0006","1.5502","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0045","0.1512","0.0000","0.0010","0.0059","0.0700","0.0000","0.0090","13.1519","0.0006","1.5243","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0045","0.1512","0.0000","0.0010","0.0063","0.0750","0.0000","0.0095","12.4947","0.0007","1.5002","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0045","0.1512","0.0000","0.0010","0.0066","0.0802","0.0000","0.0101","11.8489","0.0008","1.4776","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0045","0.1512","0.0000","0.0010","0.0070","0.0857","0.0000","0.0108","11.2154","0.0009","1.4606","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0045","0.1512","0.0000","0.0010","0.0074","0.0914","0.0000","0.0116","10.5954","0.0011","1.4458","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0058","0.1860","0.0000","0.0022","0.0079","0.0973","0.0000","0.0125","9.9896","0.0012","1.4321","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0058","0.1860","0.0000","0.0022","0.0084","0.1035","0.0000","0.0135","9.3988","0.0014","1.4188","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0058","0.1860","0.0000","0.0022","0.0089","0.1099","0.0000","0.0146","8.8239","0.0016","1.4052","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0058","0.1860","0.0000","0.0022","0.0095","0.1165","0.0000","0.0158","8.2658","0.0018","1.3912","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0058","0.1860","0.0000","0.0022","0.0102","0.1234","0.0000","0.0174","7.7262","0.0022","1.3827","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0087","0.2081","0.0000","0.0047","0.0109","0.1305","0.0000","0.0193","7.2068","0.0025","1.3762","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0087","0.2081","0.0000","0.0047","0.0116","0.1379","0.0000","0.0214","6.7082","0.0030","1.3710","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0087","0.2081","0.0000","0.0047","0.0124","0.1455","0.0000","0.0239","6.2302","0.0035","1.3670","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0087","0.2081","0.0000","0.0047","0.0133","0.1532","0.0000","0.0265","5.7719","0.0041","1.3637","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0087","0.2081","0.0000","0.0047","0.0142","0.1611","0.0000","0.0295","5.3317","0.0048","1.3603","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
"85","0.0133","0.2107","0.0000","0.0102","0.0150","0.1689","0.0000","0.0344","4.9121","0.0058","1.3748","85.5000","","","","","","","","","","","","","","","","","","","","","","",""
"86","0.0133","0.2107","0.0000","0.0102","0.0157","0.1762","0.0000","0.0411","4.5185","0.0072","1.3974","86.5000","","","","","","","","","","","","","","","","","","","","","","",""
"87","0.0133","0.2107","0.0000","0.0102","0.0161","0.1826","0.0000","0.0495","4.1561","0.0090","1.4231","87.5000","","","","","","","","","","","","","","","","","","","","","","",""
"88","0.0133","0.2107","0.0000","0.0102","0.0163","0.1875","0.0000","0.0596","3.8306","0.0112","1.4488","88.5000","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0133","0.2107","0.0000","0.0102","0.0164","0.1907","0.0000","0.0715","3.5462","0.0136","1.4764","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0179","0.1859","0.0000","0.0183","0.0162","0.1918","0.0000","0.0850","3.3029","0.0163","1.5107","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0179","0.1859","0.0000","0.0183","0.0162","0.1906","0.0000","0.1010","3.0954","0.0193","1.5628","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0179","0.1859","0.0000","0.0183","0.0164","0.1871","0.0000","0.1178","2.9095","0.0220","1.6336","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0179","0.1859","0.0000","0.0183","0.0169","0.1817","0.0000","0.1352","2.7183","0.0245","1.7405","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0179","0.1859","0.0000","0.0183","0.0177","0.1748","0.0000","0.1533","2.4845","0.0268","1.9115","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0225","0.1311","0.0000","0.0325","0.0187","0.1668","0.0000","0.1722","2.2680","0.0287","1.7613","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0225","0.1311","0.0000","0.0325","0.0200","0.1583","0.0000","0.1917","2.1178","0.0303","1.7806","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0225","0.1311","0.0000","0.0325","0.0213","0.1498","0.0000","0.2091","1.9904","0.0313","1.7852","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0225","0.1311","0.0000","0.0325","0.0228","0.1415","0.0000","0.2283","1.8889","0.0322","1.7919","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0225","0.1311","0.0000","0.0325","0.0242","0.1337","0.0000","0.2458","1.8223","0.0328","1.7897","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0225","0.1311","0.0000","0.0325","0.0247","0.1268","0.0000","0.2526","1.7981","0.0320","1.7528","102.4802","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0429","NA","0.0006","0.0023","0.0250","0.0000","0.0211","14.8605","0.0005","1.6645","68.5785","","","","","","","","","","","","","","","","","","","","","","",""
