"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:02:16 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"62","0.0009","0.0000","0.0005","0.0009","0.0032","0.0000","0.1533","6.8047","0.0005","34.0616","62.5000","","","","","","","","","","","","","","","","","",""
"63","0.0009","0.0000","0.0005","0.0010","0.0036","0.0000","0.1505","6.8709","0.0005","34.9937","63.5000","","","","","","","","","","","","","","","","","",""
"64","0.0009","0.0000","0.0005","0.0011","0.0041","0.0000","0.1476","6.9283","0.0006","29.6249","64.5000","","","","","","","","","","","","","","","","","",""
"65","0.0015","0.0000","0.0008","0.0012","0.0046","0.0000","0.1444","6.9773","0.0007","25.6886","65.5000","","","","","","","","","","","","","","","","","",""
"66","0.0015","0.0000","0.0008","0.0013","0.0051","0.0000","0.1411","7.0128","0.0007","24.5520","66.5000","","","","","","","","","","","","","","","","","",""
"67","0.0015","0.0000","0.0008","0.0014","0.0056","0.0000","0.1379","7.0329","0.0008","20.6785","67.5000","","","","","","","","","","","","","","","","","",""
"68","0.0015","0.0000","0.0008","0.0015","0.0062","0.0000","0.1349","7.0393","0.0008","18.0128","68.5000","","","","","","","","","","","","","","","","","",""
"69","0.0015","0.0000","0.0008","0.0016","0.0069","0.0000","0.1321","7.0295","0.0009","16.8872","69.5000","","","","","","","","","","","","","","","","","",""
"70","0.0021","0.0000","0.0013","0.0017","0.0076","0.0000","0.1296","7.0039","0.0010","14.5761","70.5000","","","","","","","","","","","","","","","","","",""
"71","0.0021","0.0000","0.0013","0.0018","0.0083","0.0000","0.1274","6.9639","0.0011","13.3590","71.5000","","","","","","","","","","","","","","","","","",""
"72","0.0021","0.0000","0.0013","0.0019","0.0090","0.0000","0.1254","6.9097","0.0011","11.6962","72.5000","","","","","","","","","","","","","","","","","",""
"73","0.0021","0.0000","0.0013","0.0020","0.0097","0.0000","0.1234","6.8434","0.0012","10.2682","73.5000","","","","","","","","","","","","","","","","","",""
"74","0.0021","0.0000","0.0013","0.0020","0.0105","0.0000","0.1212","6.7640","0.0013","8.9953","74.5000","","","","","","","","","","","","","","","","","",""
"75","0.0023","0.0000","0.0014","0.0021","0.0113","0.0000","0.1187","6.6667","0.0013","8.2416","75.5000","","","","","","","","","","","","","","","","","",""
"76","0.0023","0.0000","0.0014","0.0022","0.0120","0.0000","0.1159","6.5474","0.0014","7.3148","76.5000","","","","","","","","","","","","","","","","","",""
"77","0.0023","0.0000","0.0014","0.0022","0.0128","0.0000","0.1128","6.4074","0.0014","6.3140","77.5000","","","","","","","","","","","","","","","","","",""
